Feature_ID,BL21_12hr-BL21_3hr_logFC,BL21_12hr-control_12hr_logFC,BL21_3hr-control_3hr_logFC,CC_12hr-CC_3hr_logFC,CC_12hr-control_12hr_logFC,CC_3hr-control_3hr_logFC,control_12hr-control_3hr_logFC,LPS_12hr-control_12hr_logFC,LPS_12hr-LPS_3hr_logFC,LPS_3hr-control_3hr_logFC
ENSG00000006625,underexpr,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000006634,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,overexpr
ENSG00000006638,overexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,underexpr
ENSG00000006652,underexpr,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000006695,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000006704,underexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000006712,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr
ENSG00000006715,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000006740,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000006744,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,overexpr,overexpr,overexpr
ENSG00000006756,overexpr,underexpr,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,overexpr,overexpr
ENSG00000006757,overexpr,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,underexpr,underexpr,overexpr
ENSG00000006831,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000006837,overexpr,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr
ENSG00000007047,underexpr,overexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000007080,underexpr,overexpr,overexpr,overexpr,overexpr,underexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000007168,underexpr,underexpr,overexpr,underexpr,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000007202,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000007255,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,underexpr,overexpr
ENSG00000007312,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,overexpr,overexpr
ENSG00000007341,overexpr,overexpr,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,overexpr
ENSG00000007372,overexpr,underexpr,underexpr,underexpr,overexpr,overexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000007376,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000007384,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr
ENSG00000007392,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000007520,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,overexpr,overexpr
ENSG00000007541,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000007545,underexpr,overexpr,overexpr,overexpr,underexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000007866,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr
ENSG00000007908,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000007923,overexpr,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000007944,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000007968,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000008018,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr
ENSG00000008083,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000008086,overexpr,underexpr,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000008128,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr
ENSG00000008130,overexpr,overexpr,overexpr,overexpr,underexpr,underexpr,overexpr,overexpr,overexpr,underexpr
ENSG00000008256,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000008277,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr
ENSG00000008282,overexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr
ENSG00000008283,overexpr,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000008294,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000008300,overexpr,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000008311,overexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr
ENSG00000008324,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000008382,underexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr
ENSG00000008394,overexpr,overexpr,underexpr,overexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000008405,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,overexpr
ENSG00000008441,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000008513,underexpr,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr
ENSG00000008517,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000008710,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000008838,underexpr,overexpr,overexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr
ENSG00000008853,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr
ENSG00000008869,overexpr,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000008952,underexpr,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000008988,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,underexpr,overexpr
ENSG00000009307,underexpr,underexpr,overexpr,overexpr,overexpr,underexpr,overexpr,underexpr,underexpr,underexpr
ENSG00000009335,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr
ENSG00000009413,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000009780,overexpr,overexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr
ENSG00000009830,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000009844,underexpr,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,overexpr,overexpr
ENSG00000009954,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000010017,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr,underexpr,underexpr
ENSG00000010030,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,underexpr,overexpr,overexpr,overexpr
ENSG00000010072,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,overexpr
ENSG00000010165,overexpr,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr
ENSG00000010219,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000010244,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000010256,underexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr
ENSG00000010270,underexpr,underexpr,overexpr,underexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr
ENSG00000010278,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr
ENSG00000010292,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000010295,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000010310,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000010318,underexpr,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000010322,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr
ENSG00000010361,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,overexpr,overexpr,underexpr
ENSG00000010404,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000010438,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr
ENSG00000010539,underexpr,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000010626,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000010704,overexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,overexpr,overexpr,underexpr
ENSG00000010803,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr
ENSG00000010810,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,overexpr
ENSG00000010818,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,overexpr
ENSG00000010932,underexpr,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,underexpr,underexpr,overexpr
ENSG00000011007,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr
ENSG00000011009,overexpr,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000011021,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000011028,underexpr,underexpr,overexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000011105,underexpr,overexpr,overexpr,overexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000011114,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000011132,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,overexpr,overexpr,underexpr
ENSG00000011143,overexpr,underexpr,underexpr,overexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr
ENSG00000011198,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000011243,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000011258,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000011260,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000011275,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000011295,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000011304,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,overexpr,overexpr
ENSG00000011332,underexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000011376,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,overexpr,overexpr,underexpr
ENSG00000011405,overexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000011422,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000011426,underexpr,underexpr,overexpr,underexpr,overexpr,overexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000011451,underexpr,underexpr,overexpr,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,overexpr
ENSG00000011454,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr
ENSG00000011454,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr
ENSG00000011478,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000011485,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr
ENSG00000011523,overexpr,overexpr,underexpr,overexpr,underexpr,underexpr,overexpr,overexpr,overexpr,underexpr
ENSG00000011566,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr
ENSG00000011638,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr
